iteration,ssrg_state
1,[[0]]
2,[[0]]
3,[[0]]
4,[[1]]
5,[[0]]
6,[[0]]
7,[[1]]
8,[[0]]
9,[[1]]
10,[[1]]
11,[[0]]
12,[[0]]
13,[[1]]
14,[[1]]
15,[[1]]
16,[[1]]
17,[[1]]
18,[[0]]
19,[[0]]
20,[[0]]
21,[[1]]
22,[[1]]
23,[[0]]
24,[[1]]
25,[[1]]
26,[[1]]
27,[[0]]
28,[[1]]
29,[[0]]
30,[[1]]
31,[[0]]
32,[[0]]
33,[[0]]
34,[[0]]
35,[[1]]
36,[[0]]
37,[[0]]
38,[[1]]
39,[[0]]
40,[[1]]
41,[[1]]
42,[[0]]
43,[[0]]
44,[[1]]
45,[[1]]
46,[[1]]
47,[[1]]
48,[[1]]
49,[[0]]
50,[[0]]
51,[[0]]
52,[[1]]
53,[[1]]
54,[[0]]
55,[[1]]
56,[[1]]
57,[[1]]
58,[[0]]
59,[[1]]
60,[[0]]
61,[[1]]
